week_num,Average_MEL
2007-21,61
2007-23,112.16666666666667
2007-25,165.66666666666666
2007-26,11.166666666666668
2007-27,15.857142857142858
2007-28,27.333333333333336
2007-29,61.900000000000006
2007-30,27.75
2007-31,70.25
2007-32,21.09090909090909
2007-33,15.09090909090909
2007-34,9.666666666666668
2007-35,15
2007-36,12.666666666666668
2007-37,19.88888888888889
2007-38,7.857142857142857
2007-39,10.75
2007-40,8.5
2007-41,79
2008-23,10.133333333333333
2008-24,26.22222222222222
2008-25,21.2
2008-26,13.222222222222221
2008-27,22.875
2008-28,11.454545454545457
2008-29,2.9
2008-30,5.5555555555555545
2008-31,10.875
2008-32,12.333333333333334
2008-33,6.111111111111111
2008-34,14.75
2008-35,6.7
2008-36,12.125
2008-37,12.375
2008-38,32.857142857142854
2008-39,12.166666666666668
2008-40,8.5
2008-41,26
2009-23,42
2009-24,79.25
2009-25,30.5
2009-26,29.666666666666664
2009-27,13.8
2009-28,19
2009-29,23.166666666666668
2009-30,49.125
2009-31,26.2
2009-32,46.857142857142854
2009-33,80.16666666666666
2009-34,137.33333333333334
2009-35,178.66666666666669
2009-36,75.625
2009-37,61.5
2009-38,117.85714285714285
2009-39,68.44444444444444
2009-40,102.375
2009-41,34.2
2010-20,19
2010-22,77.42857142857143
2010-24,107.5
2010-25,88.8
2010-26,21.4
2010-27,37
2010-28,33
2010-29,22.454545454545453
2010-30,14.214285714285714
2010-31,18.714285714285715
2010-32,22.5
2010-33,30
2010-34,21.88888888888889
2010-35,22.1
2010-36,7.111111111111111
2010-37,13.166666666666666
2010-38,19
2010-39,9.166666666666666
2010-40,2.4
2011-19,4.5
2011-21,52.25
2011-22,10
2011-23,87.4
2011-25,12.666666666666666
2011-26,34
2011-27,14
2011-28,26.166666666666668
2011-29,27.11111111111111
2011-30,29.3
2011-31,36.54545454545455
2011-32,88
2011-33,31.416666666666664
2011-34,31.77777777777778
2011-35,22.363636363636363
2011-36,64.84615384615384
2011-37,48.77777777777778
2011-38,24.333333333333336
2011-39,44.81818181818182
2011-40,10.5
2011-42,6.25
2012-21,182.66666666666669
2012-22,23
2012-23,75.8
2012-24,31.875
2012-25,66.42857142857142
2012-26,30.923076923076923
2012-27,15.75
2012-28,59.352941176470594
2012-29,39.77777777777778
2012-30,25.814814814814817
2012-31,57.33333333333333
2012-32,49.208333333333336
2012-33,54.22857142857143
2012-34,28.941176470588236
2012-35,44.625
2012-36,59.666666666666664
2012-37,23.636363636363637
2012-38,11.285714285714286
2012-39,11.25
2012-40,44
2012-41,8.8
2013-21,4.142857142857143
2013-22,80.14285714285715
2013-23,21.666666666666668
2013-24,32
2013-25,24
2013-26,53.54545454545455
2013-27,39.57142857142857
2013-28,42
2013-29,51.41666666666667
2013-30,16.818181818181817
2013-31,38
2013-32,44.16666666666667
2013-33,51.36363636363636
2013-34,43.833333333333336
2013-35,62.45454545454545
2013-36,53.33333333333333
2013-37,13.75
2013-38,16.18181818181818
2013-39,14.333333333333334
2013-40,29.8
2013-41,38.2
2014-23,22.4
2014-24,14.285714285714286
2014-25,22.416666666666668
2014-26,23.833333333333332
2014-27,22.916666666666664
2014-28,22.615384615384617
2014-29,16.642857142857142
2014-30,28.307692307692307
2014-31,16.78571428571429
2014-32,37.30769230769231
2014-33,30.363636363636367
2014-34,24.583333333333336
2014-35,29.90909090909091
2014-36,45.63636363636364
2014-37,8.8
2014-38,9.5
2014-39,4
2014-40,19.4
2014-41,2.4
2014-42,5
2015-24,8.5
2015-25,6.5
2015-26,1.5
2015-27,18.2
2015-28,9.88888888888889
2015-29,13.083333333333332
2015-30,22.916666666666664
2015-31,16.666666666666664
2015-32,27.666666666666664
2015-33,20.75
2015-34,51.66666666666667
2015-35,31.1
2015-36,24.5
2015-37,20.333333333333332
2015-38,31.142857142857146
2015-39,17.333333333333332
2015-40,12.2
2015-41,6
2016-21,7.583333333333334
2016-22,14.833333333333334
2016-23,36.857142857142854
2016-24,8
2016-25,14.5
2016-26,33.45454545454545
2016-27,17.1
2016-28,12.363636363636365
2016-29,20.615384615384617
2016-30,6.5
2016-31,8.769230769230768
2016-32,3.2857142857142865
2016-33,1.923076923076923
2016-34,3.692307692307692
2016-35,2.2142857142857144
2016-36,5.9
2016-37,0.8181818181818181
2016-38,2.4444444444444446
2016-39,0.8
2016-40,0.6
2017-20,0
2017-21,2
2017-22,15.4
2017-23,6.571428571428572
2017-24,12.7
2017-25,5.538461538461538
2017-26,4.5
2017-27,3
2017-28,8
2017-29,27.785714285714285
2017-30,15.117647058823527
2017-31,15.266666666666667
2017-32,25.71428571428571
2017-33,20.666666666666664
2017-34,17.78571428571429
2017-35,6.066666666666668
2017-36,21.799999999999997
2017-37,7.769230769230769
2017-38,22.81818181818182
2017-39,35.625
2017-40,4
2018-21,5.166666666666666
2018-22,11.8
2018-23,25.571428571428573
2018-24,22.333333333333336
2018-25,54.45454545454546
2018-26,66.41666666666666
2018-27,33.8
2018-28,31
2018-29,50.66666666666667
2018-30,44.6923076923077
2018-31,21.909090909090914
2018-32,46.58333333333333
2018-33,69.38461538461539
2018-34,33.333333333333336
2018-35,26.5
2018-36,96.1
2018-37,93.58333333333334
2018-38,45.1
2018-39,12
2018-40,22.142857142857142
2019-18,0.14285714285714288
2019-19,0.375
2019-20,0.875
2019-21,31.8
2019-22,41.6
2019-23,36.84615384615385
2019-24,165.84615384615387
2019-25,133.6153846153846
2019-26,18.230769230769234
2019-27,53.25
2019-28,68.3076923076923
2019-29,134.58333333333331
2019-30,240.8
2019-31,160
2019-32,108.27692307692307
2019-33,109.48275862068965
2019-34,81.91666666666664
2019-35,20.25925925925926
2019-36,54.2
2019-37,36
2019-38,29.583333333333336
2019-39,17.210526315789473
2019-40,29.333333333333336
2019-41,40.6
2020-17,0
2020-18,0
2020-19,0
2020-21,0.3333333333333333
2020-22,16.9
2020-23,12.083333333333332
2020-24,21.454545454545453
2020-25,5.6
2020-26,28.923076923076923
2020-27,179.75
2020-28,28.5
2020-29,30.5
2020-30,24.083333333333336
2020-31,34.16666666666667
2020-32,8.615384615384615
2020-33,18.52173913043478
2020-34,8.09090909090909
2020-35,23.333333333333336
2020-36,1.7000000000000002
2020-37,7.25
2020-38,2
2020-39,0
2020-40,0.75
2021-18,0.6
2021-19,0.8
2021-21,1.4
2021-22,1.9166666666666665
2021-23,10.5
2021-24,3.6666666666666665
2021-25,11.75
2021-26,3.5
2021-27,11.363636363636365
2021-28,5
2021-29,21.384615384615383
2021-30,23.666666666666664
2021-31,19.083333333333336
2021-32,37.36363636363636
2021-33,34.33333333333333
2021-34,142.75
2021-35,34.16666666666667
2021-36,40.16666666666667
2021-37,71.91666666666666
2021-38,38.30769230769231
2021-39,21.166666666666664
2021-40,58.09090909090909
2021-41,15.75
2021-42,0.5714285714285714
2022-19,76
2022-21,88.75
2022-22,18.142857142857142
2022-23,111.44444444444443
2022-24,86.83333333333334
2022-25,44.076923076923066
2022-26,116.75
2022-27,15.75
2022-28,30.333333333333336
2022-29,8.583333333333332
2022-30,11.833333333333332
2022-31,26.166666666666664
2022-32,15.416666666666664
2022-33,8.416666666666668
2022-34,12.25
2022-35,8.25
2022-36,16.166666666666664
2022-37,10.666666666666668
2022-38,10.2
2022-39,8.818181818181818
2022-40,6.357142857142857
2022-41,0.5
2022-42,3.5
2022-43,1
2022-44,0.33333333333333337
2022-45,0.2222222222222222
2023-17,0
2023-19,4
2023-20,3.4285714285714284
2023-21,2.9
2023-22,3.25
2023-23,23
2023-24,42.84615384615385
2023-25,40.84615384615385
2023-26,64.92307692307693
2023-27,24.083333333333336
2023-28,49.6923076923077
2023-29,93.92307692307693
2023-30,140.30769230769226
2023-31,94.61538461538461
2023-32,85
2023-33,149.30769230769232
2023-34,29.692307692307693
2023-35,75.88235294117646
2023-36,33.666666666666664
2023-37,79.42857142857143
2023-38,58.25
2023-39,16.692307692307693
2023-40,5.666666666666667
2023-41,14.333333333333332
2023-42,5.142857142857143
2023-43,4.857142857142858
2023-44,0
