STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MLY-DUTR-NORMAL,MLY-GRDD-TB5086,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,1,17.7,8,6.8,3,1.4,3.93,28.7,3.8,1,0,0,0,0,9.8,37.5
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,2,18.1,8,6.5,2.7,1,3.67,31.2,3.8,1,0,0,0,0,4.4,40.2
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,3,18.6,34,7.6,3.7,1.4,4.88,37.5,10.5,20,4,0,0,0,1.4,46.8
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,4,19.6,117,6.9,3.3,1.3,4.5,46.8,23.6,94,22,3,0.1,0,0,56.7
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,5,20.6,269,7.4,2.6,1,3.69,56.1,30.1,234,104,23,0.2,0,0,66.4
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,6,20.7,483,6,2.3,1,3.95,65.9,30,294,239,99,0.5,0,0,76.2
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,7,19.9,644,6.7,2.7,0.8,3.32,71,31,310,302,179,2.1,0,0,81
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,8,20.5,614,6.2,2.8,1.2,4.07,70,31,310,300,157,1.4,0,0,80.2
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,9,21,401,6,2.5,1.3,3.6,62.1,30,293,196,30,0.1,0,0,72.5
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,10,21,199,6.3,2.8,1.4,4.13,51.4,29.4,185,42,3,0,0,0,61.9
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,11,19,77,7,3.5,1.5,4.65,43.2,18.2,58,2,0,0,0,0.3,52.7
USW00094726,"NEW BEDFORD MUNICIPAL AIRPORT, MA US",41.67639,-70.95833,24.4,12,17.6,17,7.4,3.2,1.4,3.97,33.8,6.7,10,1,0,0,0,3.5,42.6
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,1,19.1,10,6.8,3,1.4,3.98,27.8,3.8,6,0,0,0,0,9.7,37.4
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,2,18.9,10,6.5,2.7,1,3.56,30.7,4,3,0,0,0,0,5.5,40.2
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,3,20.1,43,7.6,3.7,1.4,5.11,37.3,12.1,30,7,0,0,0,1.6,47.4
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,4,22.3,139,6.9,3.3,1.3,4.61,47,24.3,114,39,10,0.2,0,0.1,58.1
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,5,23.1,305,7.4,2.6,1,3.59,57.2,30.2,250,140,35,0.5,0,0,68.7
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,6,22.4,492,6,2.3,1,3.63,66.2,30,292,244,116,1.4,0,0,77.4
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,7,22.3,656,6.7,2.7,0.8,3.75,71.6,31,310,300,213,3.6,0,0,82.8
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,8,22.6,607,6.2,2.8,1.2,4.08,69.8,31,310,291,188,2.1,0.1,0,81
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,9,23.4,417,6,2.5,1.3,4.32,62.3,30,297,207,53,0.4,0,0,74
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,10,23,214,6.3,2.8,1.4,4.29,51.2,29.7,191,60,6,0,0,0,62.7
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,11,20.8,80,7,3.5,1.5,4.5,42.6,18.1,72,5,0,0,0,0.2,53
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",41.87556,-71.02111,13.1,12,18.5,20,7.4,3.2,1.4,4.32,33,6.6,14,3,0,0,0,4.3,42.2
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,1,20.6,9,6.8,3,1.4,4.22,26.5,3.2,5,0,0,0,0,9.7,36.8
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,2,22.2,10,6.5,2.7,1,3.76,28.9,4,7,0,0,0,0,5.4,40.1
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,3,21.5,41,7.6,3.7,1.4,5.22,36.8,11.6,32,6,0,0,0,1,47.6
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,4,23.8,144,6.9,3.3,1.3,4.5,46.8,24.4,125,40,8,0.1,0,-7777,58.7
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,5,25,312,7.4,2.6,1,3.84,56.9,30.4,256,150,39,0.6,0,0,69.4
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,6,24.1,495,6,2.3,1,3.97,66,30,292,248,131,1.8,0,0,78.1
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,7,22.4,658,6.7,2.7,0.8,3.81,71.8,31,310,298,222,4,-7777,0,83
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,8,23.1,607,6.2,2.8,1.2,4.04,69.9,31,310,293,191,2.7,0,0,81.4
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,9,23.9,405,6,2.5,1.3,3.99,61.8,30,291,206,62,0.3,0,0,73.7
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,10,22.8,197,6.3,2.8,1.4,4.39,50.6,28.8,174,56,4,0,0,0,61.9
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,11,20.8,74,7,3.5,1.5,4.79,42,17.4,66,6,0,0,0,0.2,52.4
USC00195984,"NORTON, MA US",41.9928,-71.1666,29,12,20,18,7.4,3.2,1.4,4.74,31.8,6.2,12,1,0,0,0,4.6,41.8