Month,avg_mon_precp,mon_hr_50_86,mon_hrsgt80,mon_hrsgt_90,mon_hrgt_100,avg_monTMAX
1,4.043333333,9,0,0,0,37.23333333
2,3.663333333,9.333333333,0,0,0,40.16666667
3,5.07,39.33333333,0,0,0,47.26666667
4,4.536666667,133.3333333,7,0.133333333,0,57.83333333
5,3.706666667,295.3333333,32.33333333,0.433333333,0,68.16666667
6,3.85,490,115.3333333,1.233333333,0,77.23333333
7,3.626666667,652.6666667,204.6666667,3.233333333,0,82.26666667
8,4.063333333,609.3333333,178.6666667,2.066666667,0.033333333,80.86666667
9,3.97,407.6666667,48.33333333,0.266666667,0,73.4
10,4.27,203.3333333,4.333333333,0,0,62.16666667
11,4.646666667,77,0,0,0,52.7
12,4.343333333,18.33333333,0,0,0,42.2